,CustomerID,no_bills,sum_bill,Recency,Recency_min,Average_bill,Recency_int,month_interval,no_of_visit_per_month,,,
0,12346,1,77183.6,18-01-2011 10:01,18-01-2011 10:01,77183.6,1,0,0,,11.25394228,11.25394228
1,12347,7,4310,07-12-2011 15:52,07-12-2010 14:57,615.7142857,12,12.16666667,1.738095238,,6.422783034,
2,12348,4,1437.24,25-09-2011 13:13,16-12-2010 19:09,359.31,9,9.4,2.35,,5.884185526,
3,12349,1,1457.55,21-11-2011 09:51,21-11-2011 09:51,1457.55,11,0,0,,7.284512223,
4,12350,1,294.4,02-02-2011 16:01,02-02-2011 16:01,294.4,2,0,0,,5.684939387,
5,12352,7,1385.74,03-11-2011 14:37,16-02-2011 12:33,197.9628571,11,8.666666667,1.238095238,,5.288079423,
6,12353,1,89,19-05-2011 17:47,19-05-2011 17:47,89,5,0,0,,4.48863637,
7,12354,1,1079.4,21-04-2011 13:11,21-04-2011 13:11,1079.4,4,0,0,,6.98416061,
8,12355,1,459.4,09-05-2011 13:49,09-05-2011 13:49,459.4,5,0,0,,6.12992129,
9,12356,3,2487.43,17-11-2011 08:40,18-01-2011 09:50,829.1433333,11,10.06666667,3.355555556,,6.720393039,
10,12357,1,6207.67,06-11-2011 16:07,06-11-2011 16:07,6207.67,11,0,0,,8.733540903,
11,12358,2,928.06,08-12-2011 10:26,12-07-2011 10:04,464.03,12,4.966666667,2.483333333,,6.139949205,
12,12359,4,6372.58,13-10-2011 12:47,12-01-2011 12:43,1593.145,10,9.133333333,2.283333333,,7.373465329,
13,12360,3,2302.06,18-10-2011 15:22,23-05-2011 09:43,767.3533333,10,4.933333333,1.644444444,,6.642947365,
14,12361,1,174.9,25-02-2011 13:51,25-02-2011 13:51,174.9,2,0,0,,5.164214382,
15,12362,10,4737.23,06-12-2011 15:40,17-02-2011 10:30,473.723,12,9.733333333,0.973333333,,6.160622763,
16,12363,2,552,22-08-2011 10:18,11-04-2011 13:29,276,8,4.4,2.2,,5.620400866,
17,12364,4,1208.1,02-12-2011 10:22,19-08-2011 15:24,302.025,12,3.466666667,0.866666667,,5.710509795,
18,12365,1,320.69,21-02-2011 13:51,21-02-2011 13:51,320.69,2,0,0,,5.770474924,
19,12367,1,150.9,05-12-2011 16:48,05-12-2011 16:48,150.9,12,0,0,,5.016617366,
20,12370,4,3425.69,19-10-2011 14:51,14-12-2010 12:58,856.4225,10,10.3,2.575,,6.752763829,
21,12371,1,1527.96,11-10-2011 10:43,11-10-2011 10:43,1527.96,10,0,0,,7.331688791,
22,12372,3,1196.04,29-09-2011 12:12,16-02-2011 12:46,398.68,9,7.466666667,2.488888889,,5.98815909,
23,12373,1,324.6,01-02-2011 13:10,01-02-2011 13:10,324.6,2,0,0,,5.782593655,
24,12374,1,622.93,14-11-2011 15:37,14-11-2011 15:37,622.93,11,0,0,,6.434434153,
25,12375,2,377.5,29-11-2011 10:36,02-09-2011 14:23,188.75,11,2.9,1.45,,5.240423388,
26,12377,2,1548.12,28-01-2011 15:45,20-12-2010 09:37,774.06,1,1.3,0.65,,6.65164939,
27,12378,1,4008.62,02-08-2011 10:34,02-08-2011 10:34,4008.62,8,0,0,,8.296202321,
28,12379,2,777.24,19-09-2011 10:09,22-06-2011 16:32,388.62,9,2.933333333,1.466666667,,5.962602002,
29,12380,4,2427.81,18-11-2011 11:27,07-06-2011 09:49,606.9525,11,5.466666667,1.366666667,,6.408450534,
30,12381,3,1474.81,05-12-2011 12:44,12-08-2011 09:57,491.6033333,12,3.833333333,1.277777778,,6.197672158,
31,12383,5,1628.56,08-06-2011 08:02,22-12-2010 14:28,325.712,6,5.566666667,1.113333333,,5.786013555,
32,12384,2,425.27,11-11-2011 08:39,10-08-2011 11:23,212.635,11,3.066666667,1.533333333,,5.359577081,
33,12386,2,401.9,06-01-2011 12:37,08-12-2010 09:53,200.95,1,0.966666667,0.483333333,,5.303056121,
34,12388,6,2780.66,24-11-2011 12:30,17-01-2011 11:12,463.4433333,11,10.36666667,1.727777778,,6.138684119,
